Symptom,Disease,Recommended Medicine,Category,Dosage Form,Strength (mg),Manufacturer,Prescription Type,Nearest Pharmacy,City
Eye Infection,Conjunctivitis,Tobramycin,Antibacterial,Capsule,915,GSK,Over-the-Counter,HealthPlus,Lahore
Sore Throat,Infection,Amoxicillin,Antiviral,Ointment,331,GSK,Prescription,HealthPlus,Peshawar
"High Sugar, Fatigue",Diabetes,Metformin,Antidiabetic,Ointment,446,GSK,Prescription,MediCare,Faisalabad
Abdominal Pain,Ulcer,Omeprazole,Antacid,Syrup,593,GSK,Prescription,HealthPlus,Multan
Back Pain,Spinal Pain,Naproxen,Pain Reliever,Drops,797,GSK,Over-the-Counter,MediCare,Lahore
"Fever, Headache",Viral Infection,Paracetamol,Antipyretic,Syrup,899,GSK,Over-the-Counter,Sehat Pharmacy,Quetta
Shortness of Breath,Asthma,Salbutamol,Bronchodilator,Capsule,872,GSK,Over-the-Counter,Sehat Pharmacy,Peshawar
Joint Pain,Arthritis,Diclofenac,Anti-inflammatory,Syrup,938,GSK,Over-the-Counter,MediCare,Multan
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Injection,254,GSK,Prescription,WellLife,Islamabad
Ear Pain,Otitis,Ciprofloxacin,Antibiotic,Drops,399,GSK,Over-the-Counter,CureMed,Lahore
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Capsule,865,GSK,Prescription,WellLife,Lahore
Toothache,Dental Infection,Augmentin,Combination,Injection,822,GSK,Prescription,Sehat Pharmacy,Lahore
"Vomiting, Nausea",Food Poisoning,Ondansetron,Antiemetic,Inhaler,262,GSK,Over-the-Counter,WellLife,Quetta
Shortness of Breath,Asthma,Salbutamol,Bronchodilator,Drops,328,GSK,Over-the-Counter,TrustPharma,Quetta
Sore Throat,Infection,Amoxicillin,Antiviral,Inhaler,431,GSK,Over-the-Counter,DawaCenter,Peshawar
Urinary Pain,UTI,Nitrofurantoin,Antibacterial,Capsule,332,GSK,Over-the-Counter,CureMed,Karachi
Ear Pain,Otitis,Ciprofloxacin,Antibiotic,Capsule,160,GSK,Over-the-Counter,HealthPlus,Quetta
Urinary Pain,UTI,Nitrofurantoin,Antibacterial,Cream,878,GSK,Prescription,LifeCure,Faisalabad
"Anxiety, Insomnia",Depression,Fluoxetine,Antidepressant,Syrup,311,GSK,Prescription,TrustPharma,Islamabad
Dizziness,Low BP,Midodrine,Vasoconstrictor,Cream,331,GSK,Prescription,Sehat Pharmacy,Lahore
"Anxiety, Insomnia",Depression,Fluoxetine,Antidepressant,Cream,814,GSK,Prescription,MediCare,Karachi
"Anxiety, Insomnia",Depression,Fluoxetine,Antidepressant,Injection,674,GSK,Prescription,WellLife,Multan
Back Pain,Spinal Pain,Naproxen,Pain Reliever,Cream,137,GSK,Prescription,WellLife,Faisalabad
"Fever, Headache",Viral Infection,Paracetamol,Antipyretic,Cream,138,GSK,Prescription,TrustPharma,Peshawar
Migraine,Headache,Sumatriptan,Antimigraine,Tablet,811,GSK,Over-the-Counter,DawaCenter,Islamabad
Abdominal Pain,Ulcer,Omeprazole,Antacid,Syrup,,GSK,Over-the-Counter,LifeCure,Islamabad
Eye Infection,Conjunctivitis,Tobramycin,Antibacterial,Syrup,638,GSK,Over-the-Counter,HealthPlus,Quetta
Burn Injury,Burn,Silver Sulfadiazine,Topical Cream,Cream,623,GSK,Prescription,DawaCenter,Peshawar
Sore Throat,Infection,Amoxicillin,Antiviral,Tablet,567,GSK,Over-the-Counter,CityMeds,Islamabad
Toothache,Dental Infection,Augmentin,Combination,Injection,263,GSK,Prescription,LifeCure,Multan
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Injection,199,GSK,Prescription,WellLife,Quetta
Body Pain,Muscle Pain,Ibuprofen,Analgesic,Drops,264,GSK,Over-the-Counter,CureMed,Quetta
"Cough, Chest Pain",Bronchitis,Azithromycin,Antibiotic,Tablet,153,GSK,Prescription,TrustPharma,Karachi
Back Pain,Spinal Pain,Naproxen,Pain Reliever,Cream,528,GSK,Over-the-Counter,TrustPharma,Islamabad
Urinary Pain,UTI,Nitrofurantoin,Antibacterial,Drops,225,GSK,Over-the-Counter,CareWell Pharmacy,Faisalabad
Dizziness,Low BP,Midodrine,Vasoconstrictor,Drops,725,GSK,Prescription,CureMed,Faisalabad
Abdominal Pain,Ulcer,Omeprazole,Antacid,Cream,349,GSK,Over-the-Counter,DawaCenter,Peshawar
Dizziness,Low BP,Midodrine,Vasoconstrictor,Cream,254,GSK,Over-the-Counter,MediCare,Quetta
Abdominal Pain,Ulcer,Omeprazole,Antacid,Tablet,303,GSK,Prescription,CureMed,Karachi
Abdominal Pain,Ulcer,Omeprazole,Antacid,Inhaler,735,GSK,Over-the-Counter,WellLife,Quetta
Sore Throat,Infection,Amoxicillin,Antiviral,Injection,663,GSK,Prescription,MediCare,Islamabad
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Inhaler,389,GSK,Prescription,TrustPharma,Islamabad
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Injection,926,GSK,Over-the-Counter,WellLife,Peshawar
"Anxiety, Insomnia",Depression,Fluoxetine,Antidepressant,Ointment,939,GSK,Prescription,CityMeds,Peshawar
"Anxiety, Insomnia",Depression,Fluoxetine,Antidepressant,Injection,914,GSK,Prescription,CityMeds,Lahore
Shortness of Breath,Asthma,Salbutamol,Bronchodilator,Ointment,640,GSK,Over-the-Counter,CureMed,Lahore
Body Pain,Muscle Pain,Ibuprofen,Analgesic,Tablet,978,GSK,Over-the-Counter,DawaCenter,Faisalabad
"Anxiety, Insomnia",Depression,Fluoxetine,Antidepressant,Injection,385,GSK,Over-the-Counter,CureMed,Karachi
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Capsule,894,GSK,Over-the-Counter,CureMed,Multan
Ear Pain,Otitis,Ciprofloxacin,Antibiotic,Inhaler,147,GSK,Over-the-Counter,CureMed,Multan
"Fever, Headache",Viral Infection,Paracetamol,Antipyretic,Inhaler,956,GSK,Prescription,WellLife,Islamabad
Urinary Pain,UTI,Nitrofurantoin,Antibacterial,Tablet,601,GSK,Prescription,CareWell Pharmacy,Peshawar
Urinary Pain,UTI,Nitrofurantoin,Antibacterial,Cream,254,GSK,Prescription,CityMeds,Lahore
"Fever, Headache",Viral Infection,Paracetamol,Antipyretic,Injection,743,GSK,Over-the-Counter,LifeCure,Peshawar
Sore Throat,Infection,Amoxicillin,Antiviral,Injection,118,GSK,Over-the-Counter,MediCare,Lahore
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Injection,490,GSK,Over-the-Counter,TrustPharma,Karachi
Migraine,Headache,Sumatriptan,Antimigraine,Ointment,931,GSK,Over-the-Counter,WellLife,Islamabad
Shortness of Breath,Asthma,Salbutamol,Bronchodilator,Capsule,335,GSK,Over-the-Counter,WellLife,Multan
"Vomiting, Nausea",Food Poisoning,Ondansetron,Antiemetic,Drops,967,GSK,Prescription,MediCare,Multan
Sore Throat,Infection,Amoxicillin,Antiviral,Inhaler,473,GSK,Prescription,CityMeds,Faisalabad
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Tablet,259,GSK,Over-the-Counter,CityMeds,Quetta
"High Sugar, Fatigue",Diabetes,Metformin,Antidiabetic,Inhaler,486,GSK,Over-the-Counter,TrustPharma,Islamabad
"Cold, Sneezing",Common Cold,Cetirizine,Antihistamine,Tablet,690,GSK,Prescription,CureMed,Faisalabad
Back Pain,Spinal Pain,Naproxen,Pain Reliever,Capsule,224,GSK,Prescription,MediCare,Multan
Body Pain,Muscle Pain,Ibuprofen,Analgesic,Syrup,221,GSK,Over-the-Counter,CareWell Pharmacy,Multan
Toothache,Dental Infection,Augmentin,Combination,Inhaler,765,GSK,Prescription,HealthPlus,Faisalabad
"Cough, Chest Pain",Bronchitis,Azithromycin,Antibiotic,Injection,332,GSK,Prescription,LifeCure,Multan
Burn Injury,Burn,Silver Sulfadiazine,Topical Cream,Syrup,183,GSK,Over-the-Counter,WellLife,Faisalabad
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Injection,105,GSK,Over-the-Counter,TrustPharma,Multan
Body Pain,Muscle Pain,Ibuprofen,Analgesic,Capsule,798,GSK,Prescription,DawaCenter,Quetta
Ear Pain,Otitis,Ciprofloxacin,Antibiotic,Tablet,410,GSK,Prescription,TrustPharma,Islamabad
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Inhaler,385,GSK,Prescription,WellLife,Multan
Joint Pain,Arthritis,Diclofenac,Anti-inflammatory,Capsule,377,GSK,Over-the-Counter,CareWell Pharmacy,Peshawar
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Injection,,GSK,Over-the-Counter,MediCare,Multan
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Capsule,570,GSK,Over-the-Counter,HealthPlus,Quetta
"High Sugar, Fatigue",Diabetes,Metformin,Antidiabetic,Tablet,337,GSK,Over-the-Counter,DawaCenter,Karachi
"High Sugar, Fatigue",Diabetes,Metformin,Antidiabetic,Syrup,193,GSK,Over-the-Counter,MediCare,Quetta
Body Pain,Muscle Pain,Ibuprofen,Analgesic,Drops,819,GSK,Over-the-Counter,WellLife,Islamabad
Ear Pain,Otitis,Ciprofloxacin,Antibiotic,Syrup,897,GSK,Over-the-Counter,TrustPharma,Quetta
Eye Infection,Conjunctivitis,Tobramycin,Antibacterial,Syrup,879,GSK,Prescription,CareWell Pharmacy,Islamabad
"Fever, Headache",Viral Infection,Paracetamol,Antipyretic,Inhaler,836,GSK,Over-the-Counter,CareWell Pharmacy,Lahore
"Cough, Chest Pain",Bronchitis,Azithromycin,Antibiotic,Tablet,937,GSK,Prescription,CareWell Pharmacy,Lahore
"Cough, Chest Pain",Bronchitis,Azithromycin,Antibiotic,Capsule,244,GSK,Prescription,WellLife,Quetta
"High Sugar, Fatigue",Diabetes,Metformin,Antidiabetic,Injection,412,GSK,Over-the-Counter,WellLife,Peshawar
Dizziness,Low BP,Midodrine,Vasoconstrictor,Injection,555,GSK,Prescription,LifeCure,Islamabad
Back Pain,Spinal Pain,Naproxen,Pain Reliever,Injection,557,GSK,Prescription,CareWell Pharmacy,Lahore
"High Sugar, Fatigue",Diabetes,Metformin,Antidiabetic,Capsule,949,GSK,Prescription,MediCare,Karachi
Joint Pain,Arthritis,Diclofenac,Anti-inflammatory,Syrup,551,GSK,Over-the-Counter,CityMeds,Karachi
Joint Pain,Arthritis,Diclofenac,Anti-inflammatory,Ointment,191,GSK,Over-the-Counter,MediCare,Islamabad
"Anxiety, Insomnia",Depression,Fluoxetine,Antidepressant,Injection,420,GSK,Prescription,Sehat Pharmacy,Islamabad
"Fever, Headache",Viral Infection,Paracetamol,Antipyretic,Ointment,648,GSK,Over-the-Counter,LifeCure,Multan
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Capsule,,GSK,Prescription,LifeCure,Karachi
Burn Injury,Burn,Silver Sulfadiazine,Topical Cream,Tablet,601,GSK,Prescription,Sehat Pharmacy,Lahore
"Cough, Chest Pain",Bronchitis,Azithromycin,Antibiotic,Tablet,468,GSK,Over-the-Counter,DawaCenter,Islamabad
Dizziness,Low BP,Midodrine,Vasoconstrictor,Inhaler,955,GSK,Prescription,CityMeds,Quetta
"Vomiting, Nausea",Food Poisoning,Ondansetron,Antiemetic,Tablet,993,GSK,Over-the-Counter,CityMeds,Lahore
Sore Throat,Infection,Amoxicillin,Antiviral,Syrup,796,GSK,Over-the-Counter,CityMeds,Multan
Sore Throat,Infection,Amoxicillin,Antiviral,Syrup,866,GSK,Over-the-Counter,DawaCenter,Islamabad
Ear Pain,Otitis,Ciprofloxacin,Antibiotic,Ointment,439,GSK,Over-the-Counter,WellLife,Quetta
Migraine,Headache,Sumatriptan,Antimigraine,Capsule,596,GSK,Over-the-Counter,LifeCure,Lahore
"Fever, Headache",Viral Infection,Paracetamol,Antipyretic,Tablet,263,GSK,Prescription,MediCare,Lahore
Shortness of Breath,Asthma,Salbutamol,Bronchodilator,Ointment,484,GSK,Prescription,MediCare,Faisalabad
Shortness of Breath,Asthma,Salbutamol,Bronchodilator,Injection,387,GSK,Prescription,Sehat Pharmacy,Lahore
Skin Rash,Fungal Infection,Clotrimazole,Antifungal,Injection,850,GSK,Prescription,HealthPlus,Karachi
Back Pain,Spinal Pain,Naproxen,Pain Reliever,Drops,273,GSK,Prescription,CityMeds,Faisalabad
Burn Injury,Burn,Silver Sulfadiazine,Topical Cream,Syrup,1000,GSK,Prescription,LifeCure,Peshawar
Joint Pain,Arthritis,Diclofenac,Anti-inflammatory,Ointment,339,GSK,Prescription,MediCare,Multan
Dizziness,Low BP,Midodrine,Vasoconstrictor,Drops,883,GSK,Over-the-Counter,CareWell Pharmacy,Faisalabad
Dizziness,Low BP,Midodrine,Vasoconstrictor,Syrup,245,GSK,Over-the-Counter,MediCare,Faisalabad
Dizziness,Low BP,Midodrine,Vasoconstrictor,Injection,210,GSK,Prescription,TrustPharma,Faisalabad
Dizziness,Low BP,Midodrine,Vasoconstrictor,Inhaler,764,GSK,Over-the-Counter,CityMeds,Karachi
Shortness of Breath,Asthma,Salbutamol,Bronchodilator,Tablet,204,GSK,Prescription,HealthPlus,Karachi
Toothache,Dental Infection,Augmentin,Combination,Inhaler,319,GSK,Prescription,MediCare,Lahore
Abdominal Pain,Ulcer,Omeprazole,Antacid,Capsule,699,GSK,Prescription,DawaCenter,Faisalabad
"Fever, Headache",Viral Infection,Paracetamol,Antipyretic,Syrup,348,GSK,Over-the-Counter,MediCare,Faisalabad
Ear Pain,Otitis,Ciprofloxacin,Antibiotic,Tablet,668,GSK,Over-the-Counter,CareWell Pharmacy,Multan
Toothache,Dental Infection,Augmentin,Combination,Capsule,306,GSK,Over-the-Counter,WellLife,Faisalabad
"Fever, Headache",Viral Infection,Paracetamol,Antipyretic,Syrup,681,GSK,Prescription,WellLife,Multan
Sore Throat,Infection,Amoxicillin,Antiviral,Tablet,968,GSK,Over-the-Counter,LifeCure,Multan
"Fever, Headache",Viral Infection,Paracetamol,Antipyretic,Syrup,953,GSK,Prescription,TrustPharma,Peshawar
Abdominal Pain,Ulcer,Omeprazole,Antacid,Drops,445,GSK,Over-the-Counter,MediCare,Karachi
Burn Injury,Burn,Silver Sulfadiazine,Topical Cream,Injection,102,GSK,Over-the-Counter,MediCare,Faisalabad
"Fever, Headache",Viral Infection,Paracetamol,Antipyretic,Capsule,270,GSK,Prescription,CareWell Pharmacy,Karachi
"High Sugar, Fatigue",Diabetes,Metformin,Antidiabetic,Drops,763,GSK,Prescription,CareWell Pharmacy,Quetta
"High Sugar, Fatigue",Diabetes,Metformin,Antidiabetic,Capsule,206,GSK,Prescription,CureMed,Faisalabad
"Cold, Sneezing",Common Cold,Cetirizine,Antihistamine,Tablet,251,GSK,Over-the-Counter,Sehat Pharmacy,Lahore
Dizziness,Low BP,Midodrine,Vasoconstrictor,Cream,929,GSK,Over-the-Counter,CityMeds,Lahore
Burn Injury,Burn,Silver Sulfadiazine,Topical Cream,Ointment,825,GSK,Prescription,CureMed,Lahore
"Fever, Headache",Viral Infection,Paracetamol,Antipyretic,Drops,182,GSK,Prescription,DawaCenter,Multan
Dizziness,Low BP,Midodrine,Vasoconstrictor,Inhaler,516,GSK,Over-the-Counter,WellLife,Multan
Ear Pain,Otitis,Ciprofloxacin,Antibiotic,Capsule,736,GSK,Over-the-Counter,TrustPharma,Lahore
"Cold, Sneezing",Common Cold,Cetirizine,Antihistamine,Injection,505,GSK,Over-the-Counter,CityMeds,Multan
"Cold, Sneezing",Common Cold,Cetirizine,Antihistamine,Injection,374,GSK,Over-the-Counter,CityMeds,Faisalabad
Migraine,Headache,Sumatriptan,Antimigraine,Tablet,559,GSK,Over-the-Counter,Sehat Pharmacy,Karachi
Sore Throat,Infection,Amoxicillin,Antiviral,Inhaler,134,Merck,Prescription,CureMed,Lahore
"High Sugar, Fatigue",Diabetes,Metformin,Antidiabetic,Syrup,516,Abbott,Over-the-Counter,CureMed,Karachi
"Fever, Headache",Viral Infection,Paracetamol,Antipyretic,Tablet,316,GSK,Prescription,Sehat Pharmacy,Lahore
Shortness of Breath,Asthma,Salbutamol,Bronchodilator,Ointment,923,AstraZeneca,Prescription,MediCare,Lahore
Back Pain,Spinal Pain,Naproxen,Pain Reliever,Tablet,285,Pfizer,Over-the-Counter,MediCare,Lahore
Dizziness,Low BP,Midodrine,Vasoconstrictor,Capsule,319,Takeda,Over-the-Counter,CureMed,Multan
